tier	owner	function	file
A_PREDICT	AITrustNetworkAI	recordPositivePrediction	v3/scoring/AITrustNetworkAI.kt
G_PROTOCOL	AcceptanceInvariantAuthority6501	checkJournalVsLedger	engine/truth/AcceptanceInvariantAuthority6501.kt
A_PREDICT	AdaptiveLearningEngine	calculateOutcomeScore	engine/AdaptiveLearningEngine.kt
A_PREDICT	AdaptiveLearningEngine	extractPatterns	engine/AdaptiveLearningEngine.kt
A_PREDICT	BehaviorAI	isPatternBoosted	v3/scoring/BehaviorAI.kt
A_PREDICT	BehaviorAI	isPatternSuppressed	v3/scoring/BehaviorAI.kt
A_PREDICT	BehaviorLearning	getTopBadPatterns	engine/BehaviorLearning.kt
A_PREDICT	BehaviorLearning	getTopGoodPatterns	engine/BehaviorLearning.kt
A_PREDICT	BlueChipTraderAI	getStockTrustScore	v3/scoring/BlueChipTraderAI.kt
A_PREDICT	BotBrain	getBlendedWinRate	engine/BotBrain.kt
D_DISPLAY	BrainNetworkView	updateLayerAccuracy	ui/BrainNetworkView.kt
G_PROTOCOL	CanonicalEntryPipeline6398	buildScoreEnvelope	engine/truth/CanonicalEntryPipeline6398.kt
G_PROTOCOL	CanonicalFill6393	confidence	engine/truth/ForensicFinalityAndTuner6393.kt
G_PROTOCOL	CanonicalFill6393	scoreFloorBlock	engine/truth/ForensicFinalityAndTuner6393.kt
A_PREDICT	CashGenerationAI	getCurrentConfidenceThreshold	v3/scoring/CashGenerationAI.kt
A_PREDICT	CashGenerationAI	getCurrentScoreThreshold	v3/scoring/CashGenerationAI.kt
A_PREDICT	ClassificationProvenanceGuard6450	qualifyQuality	engine/truth/ClassificationProvenanceGuard6450.kt
A_PREDICT	CoinGeckoTrending	getSolanaEcosystemMomentum	network/CoinGeckoTrending.kt
A_PREDICT	ColdStartPriors	coldStartScoreFloor	engine/ColdStartPriors.kt
D_DISPLAY	CollectiveBrainActivity	updateBoostState	ui/CollectiveBrainActivity.kt
A_PREDICT	CollectiveIntelligenceAI	analyzePatternQuality	v3/scoring/CollectiveIntelligenceAI.kt
A_PREDICT	CollectiveIntelligenceAI	getCreatorReputation	v3/scoring/CollectiveIntelligenceAI.kt
A_PREDICT	CollectiveIntelligenceAI	getSourceReliability	v3/scoring/CollectiveIntelligenceAI.kt
A_PREDICT	CollectiveIntelligenceAI	synthesizeConsensus	v3/scoring/CollectiveIntelligenceAI.kt
A_PREDICT	CollectiveLearning	getHighLossPatterns	collective/CollectiveLearning.kt
A_PREDICT	CollectiveLearning	getHighWinPatterns	collective/CollectiveLearning.kt
A_PREDICT	CollectiveLearning	getNetworkBoostForMint	collective/CollectiveLearning.kt
H_MUTATOR	CollectiveLearning	uploadLocalPatternAggregates	collective/CollectiveLearning.kt
A_PREDICT	CommonSenseTradePlaybook	fluidScore6020	engine/CommonSenseTradePlaybook.kt
A_PREDICT	CorrelationScanner	getActionableSignals	perps/CorrelationScanner.kt
A_PREDICT	CrossAssetLeadLagAI	getRotationProbability	v4/meta/CrossAssetLeadLagAI.kt
A_PREDICT	CrossTalkFusionEngine	getLatestSignal	v4/meta/CrossTalkFusionEngine.kt
A_PREDICT	CrossTalkFusionEngine	getSignalsForMarket	v4/meta/CrossTalkFusionEngine.kt
A_PREDICT	CrossTalkFusionEngine	getSignalsForSymbol	v4/meta/CrossTalkFusionEngine.kt
A_PREDICT	DataOrchestrator	scoreSentimentWithLlm	engine/DataOrchestrator.kt
A_PREDICT	EdgeLearning	getApprovalAccuracy	engine/EdgeLearning.kt
A_PREDICT	EdgeLearning	getPatternCount	engine/EdgeLearning.kt
A_PREDICT	EdgeOptimizer	calculateWeightedScores	engine/EdgeOptimizer.kt
A_PREDICT	EducationSubLayerAI	getApprovalPatterns	v3/scoring/EducationSubLayerAI.kt
A_PREDICT	EducationSubLayerAI	getEdgeLedger	v3/scoring/EducationSubLayerAI.kt
A_PREDICT	EducationSubLayerAI	getLayerAccuracyRaw	v3/scoring/EducationSubLayerAI.kt
H_MUTATOR	EducationSubLayerAI	recordGeneralSignal	v3/scoring/EducationSubLayerAI.kt
H_MUTATOR	EntryRejectionTelemetry6396	emitScoreFloorReject	engine/truth/EntryRejectionTelemetry6396.kt
F_DEAD	ExecutableEntryAuthority6450	scoreFloorDelta6487	engine/truth/ExecutableEntryAuthority6450.kt
A_PREDICT	ExecutableEntryAuthority6450	scoreFloorDeltaFor6488	engine/truth/ExecutableEntryAuthority6450.kt
A_PREDICT	ExecutableOpenGate	mutableSignalCanVeto6519	engine/ExecutableOpenGate.kt
A_PREDICT	ExplorationBudget	allowShadowSignal	engine/learning/ExplorationBudget.kt
A_PREDICT	FluidLearning	getExitTagWinRate	engine/FluidLearning.kt
F_DEAD	FluidLearningAI	getAltsSpotScoreThreshold	v3/scoring/FluidLearningAI.kt
A_PREDICT	FluidLearningAI	getBootstrapConfidenceBoost	v3/scoring/FluidLearningAI.kt
A_PREDICT	FluidLearningAI	getHeuristicSignal	v3/scoring/FluidLearningAI.kt
G_PROTOCOL	ForensicEventEnvelope6430	setLedgerEpoch	engine/truth/ForensicEventEnvelope6430.kt
A_PREDICT	HistoricalChartScanner	getBestModeForConditions	engine/HistoricalChartScanner.kt
A_PREDICT	HistoricalChartScanner	getHistoricalRecommendation	engine/HistoricalChartScanner.kt
H_MUTATOR	HostWalletTokenTracker	recordExitSignalled	engine/HostWalletTokenTracker.kt
